[11:35:56 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[17:17:23 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780308290146
[17:17:28 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[17:17:28 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash 9560404351894433d76abe2a0910866e75f0c31fab71b05cf34f5d536f70b8d2
[17:17:35 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[17:17:47 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[17:17:58 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780308290146
[17:18:02 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[17:18:02 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash 9560404351894433d76abe2a0910866e75f0c31fab71b05cf34f5d536f70b8d2
[17:18:04 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[17:18:22 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780309029695
[17:18:26 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[17:18:29 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[17:26:32 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[17:26:39 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[17:26:53 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780309592193
[17:26:58 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[17:27:02 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[17:27:12 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[17:27:13 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[18:01:06 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780309592193
[18:09:27 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[18:09:31 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780312167975
[18:09:37 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[18:20:51 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[18:21:03 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[18:26:37 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[18:26:55 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[18:27:04 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780313197811
[18:27:08 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[18:27:11 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[18:27:21 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[18:27:21 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[18:27:47 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[18:27:55 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[18:28:01 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780313267192
[18:28:13 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[18:28:24 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[19:40:30 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:40:41 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[19:40:45 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780317630523
[19:40:53 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[19:41:18 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[19:41:26 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:41:36 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[19:41:43 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780317686852
[19:41:47 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[19:41:52 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[19:42:02 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[19:42:02 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[19:42:13 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:42:18 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=PENDING
[19:42:20 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_local_sign - fileStatus=PENDING
[19:54:32 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:54:41 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[19:54:44 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780318472336
[19:54:55 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[19:55:12 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[19:55:22 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:55:29 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780318522148
[19:55:34 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[19:55:38 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[19:56:02 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:56:08 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[19:56:13 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780318562574
[19:56:17 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[19:56:19 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[19:56:31 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[19:56:31 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[19:56:40 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[19:56:44 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[19:56:45 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_local_sign - fileStatus=SIGNED
[19:56:47 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[20:21:13 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[20:21:21 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[20:21:29 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_local_sign - fileStatus=PENDING
[20:21:30 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780320073620
[20:21:38 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[20:22:00 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[20:22:14 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[20:22:28 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[20:22:37 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[20:22:39 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780320073620
[20:22:50 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[20:22:50 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash a02279d53347cd582c337ff7f627aa2bf65dbd739787364c11343ea301749941
[20:22:55 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[20:23:10 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[20:23:12 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780320073620
[20:23:17 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[20:23:17 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash a02279d53347cd582c337ff7f627aa2bf65dbd739787364c11343ea301749941
[20:23:19 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[20:23:33 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[20:23:39 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[20:23:39 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[20:23:47 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[20:23:49 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780320213163
[20:23:53 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[20:23:54 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[20:24:05 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[20:24:06 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[20:56:51 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[20:57:18 1/6/2026] User: 0522 0100 7777 | Action: ISSUE_LOCAL_CERT | Info: Success
[20:58:05 1/6/2026] User: 0522 0100 7777 | Action: OPA_DECISION_DENY | Info: Không phải cán bộ có thẩm quyền
[20:58:14 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[20:58:20 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322211824
[20:58:31 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[20:59:26 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[20:59:38 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[20:59:42 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322211824
[20:59:46 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[20:59:46 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash a48199af0e5c9b62e9557eec8aa4e5d090ffa3066aa2102af4e5c783ba92e18e
[20:59:52 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[21:00:17 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322211824
[21:00:25 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[21:00:25 1/6/2026] User: SYSTEM | Action: REVOKE_OLD_SIG | Info: Revoked old REMOTE signature for file hash a48199af0e5c9b62e9557eec8aa4e5d090ffa3066aa2102af4e5c783ba92e18e
[21:00:27 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[21:00:41 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[21:00:41 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[21:04:56 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[21:05:01 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[21:05:06 1/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_local_sign - fileStatus=PENDING
[21:05:08 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322696509
[21:05:15 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[21:05:29 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[21:05:41 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[21:05:43 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322696509
[21:05:52 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[21:06:00 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322752997
[21:06:08 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[21:06:10 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[21:06:54 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[21:07:03 1/6/2026] User: officer_01 | Action: ISSUE_LOCAL_CERT | Info: Success
[21:07:07 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322814821
[21:07:15 1/6/2026] User: Can Bo Cong An Phuong | Action: SIGN_SUCCESS_LOCAL | Info: XacNhanCuTru_052201007777.pdf
[21:07:22 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[21:07:34 1/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[21:07:42 1/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780322842284
[21:07:46 1/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[21:07:51 1/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[21:08:14 1/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[21:08:20 1/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[05:56:26 2/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[05:56:35 2/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[05:56:41 2/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780354586113
[05:56:46 2/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[05:56:48 2/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[05:57:06 2/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[05:57:06 2/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[06:38:45 2/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[06:38:51 2/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[06:38:59 2/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780357125806
[06:39:02 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=afcc8ef9-2216-43af-b5e9-2b943635e7cd
[06:39:02 2/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[06:39:05 2/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[06:39:20 2/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[06:39:20 2/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[06:39:31 2/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[06:39:34 2/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[06:39:36 2/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[06:39:39 2/6/2026] User: officer_01 | Action: OPA_DECISION_DENY | Info: OPA/Rego deny officer_remote_sign - fileStatus=SIGNED
[06:54:16 2/6/2026] User: officer_01 | Action: DPOP_DENY | Info: Missing DPoP proof
[07:00:51 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=f14eba81-f92e-4519-ba06-ae901ce6b231
[07:00:51 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: f14eba81-f92e-4519-ba06-ae901ce6b231
[07:35:47 2/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[07:35:53 2/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[07:35:57 2/6/2026] User: officer_01 | Action: APPROVE | Info: Đã duyệt hồ sơ 1780360547057
[07:36:01 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8bb691b3-f028-4983-894c-2b7ff08b5a97
[07:36:01 2/6/2026] User: officer_01 | Action: OPA_DECISION_ALLOW | Info: OPA/Rego allow officer_remote_sign
[07:36:04 2/6/2026] User: officer_01 | Action: SIGN_SUCCESS_OFFICER_HSM | Info: XacNhanCuTru_052201007777.pdf
[07:36:04 2/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[12:18:36 2/6/2026] User: officer_01 | Action: ISSUE_REMOTE_CERT | Info: Success
[12:18:36 2/6/2026] User: officer_01 | Action: CERT_REVOKED | Info: User Can Bo Cong An Phuong added to CRL
[12:18:36 2/6/2026] User: officer_01 | Action: REVOKE_REMOTE_CERT | Info: Thu hồi chứng thư Remote/HSM và các chữ ký Remote liên quan
[12:18:45 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3b6ea187-b67e-4854-9a14-21ec4f253695
[12:18:45 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3b6ea187-b67e-4854-9a14-21ec4f253695
[12:21:47 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e1597fdd-e543-4fe9-951f-80ab1fb07ac5
[12:21:47 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e1597fdd-e543-4fe9-951f-80ab1fb07ac5
[12:21:47 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8f69ef40-da9c-4646-800f-6904713d89ba
[12:21:47 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 8f69ef40-da9c-4646-800f-6904713d89ba
[12:21:47 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=9bc629c2-9129-4eda-a3d0-c1e3732c02e9
[12:21:47 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 9bc629c2-9129-4eda-a3d0-c1e3732c02e9
[12:21:47 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c1935bb6-a813-40bc-a155-15b1e1d38613
